Noun,A+N,F+N,all+N,O-Den,Bare Singular,Bare Plural,Non-Denumerators,a/an,number,digits,plural numeral,approximative,comparative,round numbers,imprecise quantifier,precise quantifier,non denumerating quantifier,measure,non quantificational,partitive,the,N/A,Celex_Countable,Celex_Uncountable,Noun Count,Plural Noun Percentage
stridulation,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
strife,0.049019608,0,0.039215686,0,0.644,0.003,0.950980392,0.049019608,0,0,0,0,0,0,0,0,0,0,0.147058824,0,0.803921569,0,0,1,677,0.004
strike,0.413782635,0.012143291,0,0.100485732,0.128,0.237,0.428354584,0.406800243,0.085003036,0.01335762,0.001214329,0.000607165,0.000910747,0.000607165,0.009714633,0.020947177,0,0.000303582,0.041590771,0,0.386460231,0.032483303,1,1,6728,0.342
strikebreaker,0.111111111,0,0,0.222222222,0,0.63,0.666666667,0.111111111,0,0.222222222,0,0,0,0,0,0,0,0,0.111111111,0,0.555555556,0,1,0,49,0.816
strikebreaking,0,0,0,0.6,0.619,0,0.4,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.4,0,0,1,24,0
striker,0.160194175,0.033980583,0,0.087378641,0.076,0.291,0.694174757,0.150485437,0.063106796,0.019417476,0.004854369,0,0.004854369,0.004854369,0.024271845,0.009708738,0,0,0.009708738,0,0.684466019,0.024271845,1,0,425,0.605
string,0.335541884,0.014671084,0,0.056318031,0.308,0.162,0.587316611,0.328916233,0.034548036,0.005679129,0.000946522,0,0.000946522,0.000473261,0.012778041,0.022716517,0.000946522,0,0.046852816,0,0.538570752,0.005679129,1,1,5681,0.294
stringency,0,0,0,0.04,0.431,0.02,0.96,0,0,0,0,0,0,0,0,0.04,0,0,0.04,0,0.92,0,1,1,54,0.093
stringiness,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
strings,0,0,0,0,0.824,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,92,0
strip,0.310582558,0.013098931,0.000689417,0.091003102,0.089,0.253,0.575318856,0.301620131,0.038262668,0.034126163,0.000689417,0.000689417,0,0.000344709,0.012064805,0.029989659,0.000344709,0,0.032057911,0,0.542916236,0.006894174,1,0,6160,0.335
strip-poker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
stripe,0.331360947,0.019723866,0,0.181459566,0.055,0.349,0.457593688,0.313609467,0.082840237,0.007889546,0,0,0,0,0.019723866,0.114398422,0,0,0.07495069,0,0.378698225,0.003944773,1,0,1500,0.651
